Operation Date,Status,Currency Ticker,Operation Type,Operation Amount,Operation Fees,Operation Hash,Account Name,Account xpub,Countervalue Ticker,Countervalue at Operation Date,Countervalue at CSV Export
2024-11-30T15:50:59.000Z,Confirmed,BTC,OUT,0.00080837,0.00000837,a48e0ac54685691b4438e94a4f27ad277e81dbd555dc84ada5c40ef996c0bffa,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,73.92,49.94
2024-11-21T21:11:36.000Z,Confirmed,BTC,OUT,0.00081395,0.00001395,c8faeb8cde3565f1e2ece5d83938a178698dd6591b783650f6b4e3d70d3dd94b,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,75.74,50.29
2024-10-31T17:56:34.000Z,Confirmed,BTC,OUT,0.0015507,0.00000981,24b21af120b53f5cd6d62da431e57ca74efc36f5e07ec2cec33de8a08cda0335,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,101.49,95.81
2024-07-27T16:24:17.000Z,Confirmed,BTC,OUT,0.00291628,0.00000837,38d4e0983b47ec800d69d59f3364ebca9a38e7da336e7db678015e1e6e1b246a,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,183.04,180.19
2024-06-16T10:15:33.000Z,Confirmed,BTC,OUT,0.00200758,0.00004883,28d157b66057b3630085f60a8feeadc520dfb97f06a58a8b610fb767d2d1f7cc,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,124.75,124.05
2024-06-04T18:55:48.000Z,Confirmed,BTC,IN,0.00168769,0.00003452,2d4b267cf7adb6fde651467b3cb5c0ab1e17bcd81ba466a8ad9a6015f01c145e,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,107.78,104.28
2024-05-25T16:47:13.000Z,Confirmed,BTC,OUT,0.00219604,0.00002232,2dbce0c16ce378a00052285e9a6d81bbe554f88b3512ae42dcfbb54010f75ba6,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,139.70,135.69
2023-12-23T23:24:29.000Z,Confirmed,BTC,IN,0.00843,0.00151308,2221ff11a71ed44c4f9d9d7f8802a44e7b3f276033b05037d9f93c5fd18f16a8,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,334.13,520.89
2023-10-17T16:17:05.000Z,Confirmed,BTC,IN,0.00724,0.00040068,54011c72df9818d43309c67eae432b8981a8ab7b4beda3ee89d3b42e3d337261,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,194.61,447.36
2023-08-28T14:39:36.000Z,Confirmed,BTC,IN,0.04813012,0.00001802,b42739e40e9f9570b5979e427a61e40d9bab07243442586ed7a14d851ff33931,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,1156.72,2974.00
